Time,Price
0,135.3
1,134.44
2,144
3,139
4,116.38
5,106.25
6,98.1
7,112.9
8,115.98
9,112.25
10,109.6
11,113.2
12,112.8
13,117.7
14,115.64
15,114.82
16,117.98
17,111.4
18,114.22
19,118.21
20,123.5
21,123.21
22,122.5
23,122.02
24,122.89
25,123.8
26,126.3
27,133.1
28,131.99
29,133.5
30,129.77
31,129
32,132.25
33,128.8
34,128.82
35,129.3
36,122.5
37,120.74
38,121.4
39,121.9
40,118.97
41,111
42,107.89
43,100.44
44,106.35
45,109
46,108.78
47,103.95
48,100
49,99.8
50,99.9
51,101.95
52,107.05
53,108.25
54,111.29
55,109.5
56,108.2
57,107.9
58,102.09
59,103.33
60,104
61,101.74
62,94.66
63,95
64,97.51
65,88.05
66,90.4
67,78.89
68,79.99
69,68.5
70,68.75
71,76.5
72,76
73,76.72
74,88
75,88.98
76,93.99
77,98.7
78,93.61
79,98.89
80,96.71
81,98.5
82,90.07
83,92
84,89.82
85,92
86,91.6
87,95.56
88,94.5
89,96.95
90,96.02
91,94.4
92,98.6
93,101.49
94,107.95
95,106.21
96,104.86
97,104.5
98,104.95
99,105.12
100,106.72
101,106.75
102,106.75
103,103.07
104,102.8
105,103
106,105
107,106.99
108,109.56
109,112.56
110,110
111,108.99
112,112.75
113,113.38
114,119
115,121.21
116,123.3
117,122
118,118.51
119,119.6
120,122.11
121,120.07
122,126.48
123,122.62
124,122.35
125,133.09
126,135.14
127,138.63
128,135.61
129,136.53
130,126.76
131,126.49
132,118.89
133,124.13
134,121.86
135,127.27
136,125.89
137,135.55
138,132.83
139,135.01
140,129.4
141,130.86
142,131.59
143,131.71
144,131.37
145,129.7
146,126.95
147,127.87
148,128.98
149,126.05
150,127.38
151,128.21
152,128.94
153,133.77
154,134.9
155,137.15
156,132.68
157,132.05
158,114.45
159,123.41
160,128.63
161,128.36
162,129.43
163,126.74
164,125.85
165,130.67
166,130.75
167,130.9
168,135.19
169,139.27
170,140.77
171,145.65
172,142.41
173,146.37
174,155.91
175,171.66
176,174.8
177,182.65
178,193.36
179,214.3
180,197.69
181,187.45
182,176.6
183,196.21
184,198.55
185,204.39
186,199.83
187,203.9
188,205.81
189,205.99
190,214.66
191,229.21
192,244.78
193,261.68
194,297.85
195,338.58
196,348.82
197,325.41
198,343.06
199,360.97
200,406.41
201,419.41
202,417.28
203,440.96
204,496.58
205,712.76
206,577.98
207,594.32
208,724.07
209,771.7
210,795.63
211,773.02
212,805.73
213,923.85
214,1003.38
215,1042.01
216,1129.37
217,1128.92
218,951.42
219,1046.4
220,1077.58
221,1152.73
222,1042.38
223,835.32
224,697.31
225,793.8
226,892.32
227,989.07
228,882.78
229,874.98
230,899.85
231,875.29
232,880.33
233,706.37
234,678.2
235,519.06
236,694.22
237,619.9
238,601.78
239,613.06
240,672.36
241,666.31
242,683.94
243,763.28
244,737.98
245,728.05
246,741.35
247,760.32
248,754.97
249,773.44
250,802.85
251,823.27
252,858.55
253,936.05
254,946.49
255,795.99
256,841.47
257,846.69
258,867.32
259,919.6
260,860.19
261,843.17
262,833.12
263,860.29
264,834.49
265,816.07
266,839.66
267,871.39
268,869.65
269,867.21
270,845.46
271,822.43
272,796.24
273,853.68
274,884.6
275,774.02
276,809.96
277,826.02
278,818.43
279,828.61
280,832.9
281,824.08
282,823.77
283,829.96
284,815.59
285,783.2
286,699.57
287,671.46
288,681.32
289,683.5
290,672.38
291,651.08
292,601.17
293,660.9
294,651.3
295,614.23
296,627.16
297,625.97
298,623.09
299,556.88
300,574.24
301,606.47
302,606.04
303,540.24
304,537.04
305,581.65
306,579.7
307,549.92
308,567.23
309,562.56
310,668.24
311,666.24
312,664.52
313,664.31
314,629.66
315,616.31
316,636.33
317,627.95
318,631.91
319,633.62
320,638.14
321,629.37
322,636.5
323,630.92
324,621.84
325,613.9
326,609.74
327,588.29
328,571.18
329,565.76
330,562.51
331,585.03
332,583.48
333,580.26
334,477.14
335,501.71
336,492.37
337,462.3
338,457
339,479.14
340,436.44
341,445.66
342,446.67
343,463.4
344,461.47
345,447.61
346,453.18
347,442.26
348,363.71
349,420.89
350,421.46
351,414.83
352,458.37
353,522.18
354,529.07
355,495.8
356,479.58
357,501.75
358,497.74
359,495.45
360,488.36
361,490.83
362,500.09
363,461.7
364,457.24
365,430.72
366,439.98
367,446.89
368,447.63
369,457.36
370,449.4
371,438.52
372,434.78
373,433.36
374,429.34
375,438.68
376,440.18
377,450.46
378,453.92
379,438.3
380,441.53
381,440.59
382,444.14
383,447.39
384,448.12
385,448.7
386,446.08
387,446.3
388,485.8
389,492.05
390,525.72
391,521.05
392,525.23
393,571.39
394,582.59
395,571.91
396,576.33
397,568.18
398,615.69
399,623.69
400,629.65
401,660.55
402,666.77
403,641.07
404,659.28
405,653.52
406,654.99
407,655.64
408,650.04
409,653.19
410,633.43
411,585.7
412,600.75
413,575.93
414,592.65
415,591.59
