Time,Price
0,0
1,3
2,6
3,9
4,12
5,15
6,18
7,21
8,24
9,27
10,30
11,33
12,36
13,39
14,42
15,45
16,48
17,51
18,54
19,57
20,60
21,63
22,66
23,69
24,72
25,75
26,78
27,81
28,84
29,87
30,90
31,93
32,96
33,99
34,102
35,105
36,108
37,111
38,114
39,117
40,120
41,123
42,126
43,129
44,132
45,135
46,138
47,141
48,144
49,147
50,150
51,153
52,156
53,159
54,162
55,165
56,168
57,171
58,174
59,177
60,180
61,183
62,186
63,189
64,192
65,195
66,198
67,201
68,204
69,207
70,210
71,213
72,216
73,219
74,222
75,225
76,228
77,231
78,234
79,237
80,240
81,243
82,246
83,249
84,252
85,255
86,258
87,261
88,264
89,267
90,270
91,273
92,276
93,279
94,282
95,285
96,288
97,291
98,294
99,297
100,300
101,303
102,306
103,309
104,312
105,315
106,318
107,321
108,324
109,327
110,330
111,333
112,336
113,339
114,342
115,345
116,348
117,351
118,354
119,357
120,360
121,363
122,366
123,369
124,372
125,375
126,378
127,381
128,384
129,387
130,390
131,393
132,396
133,399
134,402
135,405
136,408
137,411
138,414
139,417
140,420
141,423
142,426
143,429
144,432
145,435
146,438
147,441
148,444
149,447
150,450
151,453
152,456
153,459
154,462
155,465
156,468
157,471
158,474
159,477
160,480
161,483
162,486
163,489
164,492
165,495
166,498
167,501
168,504
169,507
170,510
171,513
172,516
173,519
174,522
175,525
176,528
177,531
178,534
179,537
180,540
181,543
182,546
183,549
184,552
185,555
186,558
187,561
188,564
189,567
190,570
191,573
192,576
193,579
194,582
195,585
196,588
197,591
198,594
199,597
200,600
201,603
202,606
203,609
204,612
205,615
206,618
207,621
208,624
209,627
210,630
211,633
212,636
213,639
214,642
215,645
216,648
217,651
218,654
219,657
220,660
221,663
222,666
223,669
224,672
225,675
226,678
227,681
228,684
229,687
230,690
231,693
232,696
233,699
234,702
235,705
236,708
237,711
238,714
239,717
240,720
241,723
242,726
243,729
244,732
245,735
246,738
247,741
248,744
249,747
250,750
251,753
252,756
253,759
254,762
255,765
256,768
257,771
258,774
259,777
260,780
261,783
262,786
263,789
264,792
265,795
266,798
267,801
268,804
269,807
270,810
271,813
272,816
273,819
274,822
275,825
276,828
277,831
278,834
279,837
280,840
281,843
282,846
283,849
284,852
285,855
286,858
287,861
288,864
289,867
290,870
291,873
292,876
293,879
294,882
295,885
296,888
297,891
298,894
299,897
300,900
301,903
302,906
303,909
304,912
305,915
306,918
307,921
308,924
309,927
310,930
311,933
312,936
313,939
314,942
315,945
316,948
317,951
318,954
319,957
320,960
321,963
322,966
323,969
324,972
325,975
326,978
327,981
328,984
329,987
330,990
331,993
332,996
333,999
334,1002
335,1005
336,1008
337,1011
338,1014
339,1017
340,1020
341,1023
342,1026
343,1029
344,1032
345,1035
346,1038
347,1041
348,1044
349,1047
350,1050
351,1053
352,1056
353,1059
354,1062
355,1065
356,1068
357,1071
358,1074
359,1077
360,1080
361,1083
362,1086
363,1089
364,1092
365,1095
366,1098
367,1101
368,1104
369,1107
370,1110
371,1113
372,1116
373,1119
374,1122
375,1125
376,1128
377,1131
378,1134
379,1137
380,1140
381,1143
382,1146
383,1149
384,1152
385,1155
386,1158
387,1161
388,1164
389,1167
390,1170
391,1173
392,1176
393,1179
394,1182
395,1185
396,1188
397,1191
398,1194
399,1197
400,1200
401,1203
402,1206
403,1209
404,1212
405,1215
406,1218
407,1221
408,1224
409,1227
410,1230
411,1233
412,1236
413,1239
414,1242
415,1245
416,1248
417,1251
418,1254
419,1257
420,1260
421,1263
422,1266
423,1269
424,1272
425,1275
426,1278
427,1281
428,1284
429,1287
430,1290
431,1293
432,1296
433,1299
434,1302
435,1305
436,1308
437,1311
438,1314
439,1317
440,1320
441,1323
442,1326
443,1329
444,1332
445,1335
446,1338
447,1341
448,1344
449,1347
450,1350
451,1353
452,1356
453,1359
454,1362
455,1365
456,1368
457,1371
458,1374
459,1377
460,1380
461,1383
462,1386
463,1389
464,1392
465,1395
466,1398
467,1401
468,1404
469,1407
470,1410
471,1413
472,1416
473,1419
474,1422
475,1425
476,1428
477,1431
478,1434
479,1437
480,1440
481,1443
482,1446
483,1449
484,1452
485,1455
486,1458
487,1461
488,1464
489,1467
490,1470
491,1473
492,1476
493,1479
494,1482
495,1485
496,1488
497,1491
498,1494
499,1497
500,1500
501,1503
502,1506
503,1509
504,1512
505,1515
506,1518
507,1521
508,1524
509,1527
510,1530
511,1533
512,1536
513,1539
514,1542
515,1545
516,1548
517,1551
518,1554
519,1557
520,1560
521,1563
522,1566
523,1569
524,1572
525,1575
526,1578
527,1581
528,1584
529,1587
530,1590
531,1593
532,1596
533,1599
534,1602
